,Brand,Price,Rating,Modelname,Auto,Load,Energyrating,WashingcapacityInKg,Washingmethod,MaximumspinspeedInRPM,In-builtheater,Color,Shade,Waterlevelselector
0,SAMSUNG,14190.0,4.4,WA65A4002VS/TL,Fully,Top,3.0,6.5,Pulsator,680,No,Silver,Imperial Silver,No
1,LG,15990.0,4.3,T65SKSF4Z,Fully,Top,5.0,6.5,3 Smart Motion,780,No,Silver,Middle Free Silver,Yes
2,SAMSUNG,21990.0,4.4,WW60R20GLMA/TL,Fully,Front,5.0,6.0,Tumble,1000,Yes,White,White,Yes
3,ONIDA,12990.0,4.2,T70CGN,Fully,Top,5.0,7.0,Pulsator,750,No,Grey,Grey,Yes
4,Whirlpool,12990.0,4.3,WM ROYAL 6.0 GENX GREY 5YMW,Fully,Top,5.0,6.0,Agipeller,740,No,Grey,Grey,No
5,IFB,21990.0,4.3,Diva Aqua VX,Fully,Front,5.0,6.0,Tumble Wash,800,Yes,White,White,Yes
6,MarQ By Flipkart,6990.0,4.3,MQSA60H5M,Semi,Top,5.0,6.0,Pulsator,1350,No,"White, Maroon","White, Maroon",Yes
7,SAMSUNG,9690.0,4.4,WT725QPNDMPXTL 02,Semi,Top,4.975,7.2,Centre Jet Pulsator Wash,740,No,White,White,No
8,Whirlpool,15240.0,4.3,WM Royal 7.0 GENX Grey 5YMW,Fully,Top,5.0,7.0,Agipeller,740,No,Grey,Grey,No
9,LG,10490.0,4.4,P7020NGAY,Semi,Top,4.0,7.0,Normal Pulsator Wash,1350,No,"Grey, White",Dark Gray,No
10,SAMSUNG,15990.0,4.3,WA65T4262GG/TL,Fully,Top,5.0,6.5,Pulsator,700,No,Grey,Light Grey,Yes
11,IFB,16589.0,4.3,TL-REW Aqua 6.5 kg,Fully,Top,5.0,6.5,Pulsator,720,No,White,White,Yes
12,Thomson,7099.0,4.2,SA96500,Semi,Top,5.0,6.5,Pulsator,1400,No,"White, Grey","White, Grey",No
13,IFB,29489.0,4.3,Neo Diva BX 7 kg,Fully,Front,5.0,7.0,Tumble,1000,Yes,"Black, White",White,No
14,Whirlpool,10740.0,4.4,ACE 7.5 SUPREME GREY DAZZLE,Semi,Top,5.0,7.5,Impeller,1400,No,Grey,Grey Dazzle,No
15,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
16,LG,24490.0,4.4,FHM1006ADW,Fully,Front,5.0,6.0,Tumble,1000,Yes,White,White,Yes
17,SAMSUNG,17990.0,4.3,WA70T4262GS/TL,Fully,Top,5.0,7.0,Pulsator,750,No,Silver,Imperial Silver,Yes
18,ONIDA,10990.0,4.2,T62CGN / CRYSTAL 62,Fully,Top,4.975,6.2,Pulsator Wash,700,No,Grey,Grey,Yes
19,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
20,IFB,34590.0,4.4,Senator Plus VX,Fully,Front,5.0,8.0,Tumble,1200,Yes,White,White,No
21,LG,13500.0,4.5,P8035SGMZ,Semi,Top,5.0,8.0,Pulsator,1350,No,"Grey, White",Dark Gray,Yes
22,IFB,22599.0,4.3,Diva Plus BX,Fully,Front,5.0,6.0,Tumble,800,Yes,"Black, White",White,No
23,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
24,ONIDA,11990.0,4.2,T65CGN,Fully,Top,5.0,6.5,Pulsator,750,No,Grey,Grey,Yes
25,Whirlpool,10390.0,4.4,SUPERB ATOM 70S GREY DAZZLE (5YR),Semi,Top,5.0,7.0,Impellar Wash,1450,No,Grey,GREY DAZZLE,No
26,Haier,14490.0,4.3,HWM70-FE,Fully,Top,5.0,7.0,Pulsator,800,No,"Brown, Grey",Grey,Yes
